"new_abbreviation","importsequencenumber","new_name","new_sitename","new_sitesid","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"TO","","Thousand Oaks","Thousand Oaks","924590b0-ba5d-f011-bec1-7c1e527d2157","1","0","","","20452424","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"SITE","","Other","Other","1fa9464b-995d-f011-bec1-7c1e527d2157","1","0","","","20452423","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"RL","","Round Lake","Round Lake","390297b6-ba5d-f011-bec1-7c1e527d2157","1","0","","","20452422","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"MBO","","MA Bio Ops","MA Bio Ops","746c473f-995d-f011-bec1-7c1e527d2157","1","0","","","20452421","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"BP","","Brooklyn Park","Brooklyn Park","204bcab2-ba5d-f011-bec1-002248271486","1","0","","","20452419","04d25798-3a42-ee11-bdf5-000d3a8fd327"
"COV","","Covington","Covington","0f646fca-ba5d-f011-bec1-6045bddb6d09","1","0","","","20452418","04d25798-3a42-ee11-bdf5-000d3a8fd327"
