"new_abbreviation","new_functionname","new_functionsid","importsequencenumber","new_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","new_person.azureactivedirectoryobjectid"
"BE","Business Excellence","8791d5da-a15d-f011-bec1-7c1e527cd923","","","1","0","","","18500373","04d25798-3a42-ee11-bdf5-000d3a8fd327","eb094966-3b4e-4733-9da1-670867441cf8"
"MS","Manufacturing Sciences","14699bcc-a15d-f011-bec1-002248271486","","","1","0","","","18500371","04d25798-3a42-ee11-bdf5-000d3a8fd327","1ae4535a-c129-4f33-9f76-1ba698be262a"
"QU","Quality","37c1c7ca-a15d-f011-bec1-6045bddb6d09","","","1","0","","","18500369","04d25798-3a42-ee11-bdf5-000d3a8fd327","daf1bf4e-9ac8-4e93-b50e-54b0dc21e997"
"MFG","Manufacturing","013097c6-a15d-f011-bec1-002248271486","","","1","0","","","18500367","04d25798-3a42-ee11-bdf5-000d3a8fd327","2e206058-c2e1-46c0-b68c-28eeb02607e3"
"SC","Supply Chain","d76e73c0-a15d-f011-bec1-7c1e527d2157","","","1","0","","","18500365","04d25798-3a42-ee11-bdf5-000d3a8fd327","47dfdf99-13e2-441c-8c63-abbc31aa7da0"
"ENG","Engineering","dd1f6fba-a15d-f011-bec1-7c1e527d2157","","","1","0","","","18500363","04d25798-3a42-ee11-bdf5-000d3a8fd327","b2a3c072-6583-48c5-870d-4ad99ddae01f"
"SITE","Other","f8ad93d2-a15d-f011-bec1-002248271486","","","1","0","","","18500359","04d25798-3a42-ee11-bdf5-000d3a8fd327",""
